       tic                           sectors          t0    t0_sigma          P0    P0_sigma morphology source flag
---------- --------------------------------- ----------- ----------- ----------- ----------- ---------- ------ ----
   8677671                                21 1871.454057    0.000265   1.1159766   0.0000055      0.564    LCF     
   8766412                                21 1872.532706    0.048372   2.3193330   0.0001726      0.909    LCF     
   8769657                                21 1870.514880    0.000419   0.4264695   0.0000064      0.574    LCF     
   8895896                                19 1818.457581    0.012695  12.8580885   0.0040112      0.198    LCF     
   8989778                                 2 1354.732595    0.000829   0.6127979   0.0000006      0.791    LCF     
   9033144                              2,29 1557.028333    0.000647  14.1451608   0.0000947      0.122    LCF     
   9036901                             23-24 1930.550945    0.000268   3.4130085   0.0000509      0.599    LCF     
   9054370                              2,29 1357.135305    0.005069   3.1899595   0.0000186      0.290    LCF     
   9058724                                23 1934.712606    0.000162   3.5605419   0.0000428      0.442    LCF     
   9070070                                 2 1354.608867    0.000017   0.4814247   0.0000019      0.831    LCF     
   9172417                                 5 1438.039329    0.000039   0.2451915   0.0000006      0.655    LCF     
   9209932                                 2 1354.712968    0.145266   3.5225329   0.0010700      0.450    LCF     
   9361438                                21 1875.749082    0.000072   8.6077407   0.0001597      0.140    LCF     
   9380768                                 5 1439.531668    0.000318   1.6222184   0.0000150      0.459    LCF     
   9381557                                 5 1446.448142    0.000394  11.8221481   0.0005471      0.480    LCF     
   9391285                                22 1902.102903    0.000239   2.7525411   0.0000100      0.303    LCF     
   9433212                              5,32 1440.155582    0.000366   5.0134480   0.0000020      0.200    LCF     
   9461737                                22 1900.629627    0.000850   0.6369756   0.0000358      0.574    LCF     
   9473243                             25-26 1989.388849    0.000303   2.2669595   0.0000148      0.536    LCF     
   9727392                              2,29 1355.324723    0.001011   4.5345679   0.0000040      0.376    LCF     
   9825731                             25-26 1987.446729    0.000029   0.5907443   0.0000011      0.700    LCF     
   9845586                                 4 1410.776879    0.000017   0.3601126   0.0000197      0.719    LCF     
   9945183                              4,31 1411.732541    0.000022   1.5575895   0.0000002      0.531    LCF     
  10048801                                20 1842.997370    0.015308   3.6987295   0.0033781      0.459    LCF     
  10057647                                20 1842.808981    0.000107  16.2635300   0.0002528      0.076    LCF     
  10393493                             25-26 1983.753086    0.000019   0.3604604   0.0000002      0.789    LCF     
  10467747                                26 2010.457011    0.000214   0.3026197   0.0000041      0.530    LCF    A
  10756751                                 3 1387.997727    0.000397   3.4885322   0.0000193      0.571    LCF     
  10838695                                 3 1386.671343    0.000193   2.3061233   0.0000074      0.527    LCF     
  10891640                                14 1685.068121    0.000205   6.1819688   0.0160739      0.522    LCF     
  11002748                                 5 1438.415691    0.000229   0.7787150   0.0000182      0.669    LCF     
  11046410                              5,31 1441.106275    1.795723   8.1226211   0.0035744      0.439    LCF     
  11070365                                 7 1492.277544    0.003129   0.9020851   0.0001828      0.560    LCF    A
  11113164                                15 1712.927060    0.001860   2.8391805   0.0000668      0.629    LCF     
  11119600                             14-15 1683.732028    0.000067   1.2211942   0.0000057      0.532    LCF    A
  11286209                              6,32 1468.138678    0.041930   1.1909336   0.0000657      0.572    LCF     
  11437325                                18 1790.806106    0.000024   0.5733566   0.0000007      0.521    LCF     
  11480287                                15 1713.015398    0.000396   2.3168078   0.0000877      0.600    LCF     
  11480757                                15 1711.550618    0.000647   0.4041670   0.0000013      0.862    LCF     
  11487334                              3,30 1386.000092    0.008061   0.3840273   0.0002015      0.809    LCF     
  11491822                                20 1851.927737    0.000676   9.9465911   0.0005646      0.207    LCF     
  11546041                                 3 1386.326665    0.003222   0.4068856   0.0000939      0.778    LCF     
  11561667                              9,35 1548.526144    0.322684   3.0876595   0.0000178      0.286    LCF     
  11598102                                 3 1386.004577    0.000445   0.4229058   0.0000042      0.779    LCF     
  11704852                                15 1713.361170    0.001579   6.7712427   0.0013422      0.548    LCF     
  11748495                           8,34-35 1521.099907    0.000988   4.1615575   0.0001354      0.514    LCF     
  11756637                              6,33 1469.137539    0.000104   4.3064103   0.0000009      0.191    LCF     
  11793277                                15 1712.306542    0.000297   1.5069611   0.0000083      0.610    LCF     
  11799872                                20 1842.942715    0.000281   4.2578574   0.0001375      0.364    LCF     
  11799874                                20 1842.942705    0.000800   4.2579273   0.0000376      0.366    LCF     
  12012992                                 8 1517.905474    0.000896   0.9011729   0.0000106      0.626    LCF     
  12029932                             14-15 1689.653253    2.509377  10.5542613   0.0398000      0.733    LCF     
  12158853                                 6 1469.552347    0.000164   1.2623791   0.0000134      0.361    LCF     
  12494582                             14-15 1684.023707    0.000399   0.8309453   0.0000008      0.648    LCF     
  12529950                              4,31 1411.572059    0.001224   2.4004337   0.0000052      0.308    LCF     
  12631605                              4,31 1411.258762    0.000106   0.7088063   0.0000071      0.539    LCF     
  12632044                                 4 1411.329619    0.031213   0.2016308   0.0000009      0.849    LCF     
  12672792                             14-15 1684.080929    0.001601   4.2116316   0.0000463      0.576    LCF     
  12673900                                15 1712.419698    0.000542   1.9102172   0.0000204      0.635    LCF     
  12723924                              2,28 1357.502611    0.000089  22.0004004   0.0054080      0.038    LCF     
  12790306                             17,24 1765.500530    0.000011   1.1847291   0.0000024      0.609    LCF     
  12824209                             18,25 1790.855458    0.080537   1.0711624   0.0000329      0.527    LCF    A
  12862119                                 3 1390.980644    0.021193  11.2077438   0.0125226      0.254    LCF     
  12915124                             14-15 1684.260380    0.000097   3.1642751   0.0000308      0.524    LCF     
  13021029                              5,32 1439.796012    0.670278   3.8523922   0.0000638      0.323    LCF    A
  13037534                          17-18,24 1781.478385    0.014187  30.1826945   0.0021669      0.542    LCF     
  13062255                              5,32 1439.067848    0.000567   1.6512130   0.0000018      0.571    LCF     
  13062697                                 5 1443.378740    0.920109   4.8487676   0.0236462      0.784    LCF     
  13068361                                 2 1354.351228    0.002098   0.3073681   0.0000014      0.808    LCF     
  13070701                                 5 1438.210281    0.000345   0.4140761   0.0000090      0.900    LCF     
  13092260                                 2 1358.352518    0.000276  13.2458144   0.0004703      0.111    LCF     
  13135572                                 5 1438.071195    0.000695   0.3983886   0.0000060      0.739    LCF     
  13325340                                 5 1438.153260    0.000026   0.8930911   0.0000073      0.578    LCF     
  13345143                            5-6,32 1437.998934    0.000068   0.6723508   0.0000001      0.784    LCF     
  13349647                              8,34 1518.645451    0.006122   1.5370594   0.0000215      0.376    LCF    A
  13351941                                18 1791.924826    0.000015   1.5806087   0.0000273      0.538    LCF     
  13389059                          17-18,24 1768.179142    0.000318  30.5514020   0.0000731      0.101    LCF     
  13684720                             14-15 1695.012201    0.000795  12.4378148   0.0002501      0.196    LCF     
  13840107                                18 1792.526429    0.030441   2.7660840   0.0012597      0.470    LCF     
  13957444                              5,32 1441.439086    0.000078   3.7404363   0.0000011      0.257    LCF     
  13968858                             14-15 1684.772353    0.003584   3.4855938   0.0000294      0.625    LCF     
  13974582                                15 1714.142502    0.000280   4.8607921   0.0004899      0.334    LCF     
  13976604                                15 1713.881634    0.001540   3.2053727   0.0004302      0.890    LCF     
  14040050                                18 1793.012936    0.001774  10.2707341   0.0012418      0.273    LCF    A
  14081980                               5-6 1438.870500    0.000772   2.9191488   0.0000753      0.326    LCF     
  14091704                                 5 1438.414668    0.001869   0.7650591   0.0001231      0.429    LCF    A
  14207118                             14-15 1684.716626    0.000377   2.7046116   0.0000072      0.626    LCF     
  14307980                              8,35 1518.125518    0.000014   0.8974226   0.0000009      0.503    LCF     
  14614418                             10,36 1571.093707    0.124231   0.8379827   0.0001437      0.519    LCF    A
  14617089                             14-15 1684.997537    0.000099   1.6689463   0.0000254      0.633    LCF     
  14679411                                10 1575.407262    0.005056   6.0499502   0.0050885      0.363    LCF     
  14709809                              7,33 1505.500243    0.000048   9.3910703   0.0289826      0.605    LCF    A
  14826027                                22 1900.200105    0.000056   0.9125680   0.0000132      0.747    LCF     
  14842303                                15 1711.753379    0.000508   0.7725964   0.0000022      0.674    LCF    A
  14844585                                15 1711.507982    0.000243   1.8630983   0.0000176      0.585    LCF     
  14948284                                22 1902.266006    0.005660   2.7036866   0.0000568      0.545    LCF     
  15445546                                10 1571.351851    0.002002   1.6827975   0.0001059      0.445    LCF     
  15445551                          10-11,37 1571.353105    0.027451   1.6827917   0.0000020      0.506    LCF     
  15613315                                17 1764.834585    0.000149   0.7166323   0.0000015      0.650    LCF     
  15795549                             14-15 1683.890908    0.000018   0.8911946   0.0000067      0.597    LCF     
  16288184                             12,39 1635.453101    0.334006   4.3596973   0.0013715      0.471    LCF    A
  16316642                             14-15 1684.383168    0.027080   4.0218798   0.0000644      0.758    LCF     
  16479253                                20 1848.140911    0.002194   6.9481612   0.0013035      0.347    LCF     
  16485009                                20 1842.785002    0.001721   1.0056497   0.0000748      0.829    LCF     
  16596302                                20 1843.776956    0.022531   2.5466730   0.0001776      0.871    LCF     
  16617827                                15 1711.631106    0.000009   0.2906367   0.0000073      0.720    LCF     
  16700335                                20 1843.896695    0.001739   2.8700507   0.0003242      0.521    LCF     
  16703161                                20 1843.401112    0.000348   6.0030650   0.0002339      0.261    LCF     
  16728252                             14-15 1685.269122    0.004166   4.8506288   0.0004555      0.541    LCF     
  16740101                             14-15 1684.889517    0.032004   1.4811061   0.0000415      0.575    LCF     
  16805614                                21 1876.983461    0.000440   8.4916123   0.0003462      0.098    LCF     
  16805617                                21 1873.165726    0.000768   8.4909155   0.0002749      0.074    LCF     
  16805628                                21 1874.386645    0.001096   4.0757598   0.0002699      0.233    LCF     
  17005768                                17 1765.270386    0.001392   6.8397291   0.0005586      0.190    LCF    A
  17206122                                21 1870.552078    0.000348   4.4532299   0.0001579      0.260    LCF     
  17299918                                21 1871.189368    0.000293   2.0280582   0.0000462      0.337    LCF     
  17451194                                15 1713.985838    0.000186   2.9784000   0.0001022      0.484    LCF     
  17468122                             24-25 1958.823051    0.000951   4.9338970   0.0001406      0.260    LCF     
  17539192                             24-25 1956.100199    0.000018   0.5318301   0.0000002      0.667    LCF     
  17562290                             24-25 1956.039546    0.000018   0.3081868   0.0000001      0.756    LCF     
  18028547                                22 1902.988228    0.000280   7.3991220   0.0003938      0.124    LCF    A
  18225199                                17 1765.907001    0.000626   1.8827519   0.0000419      0.543    LCF     
  18250189                                17 1764.730919    0.000075   0.1396417   0.0000015      0.556    LCF     
  18269802                             25-26 1984.008393    0.001699   0.3431555   0.0000003      0.740    LCF     
  18271803                             25-26 1983.794938    0.000151   0.8180907   0.0000027      0.594    LCF     
  18319090                             25-26 1990.910995    0.000377  15.4251764   0.0004641      0.057    LCF     
  18433724                             25-26 1983.904204    0.000033   0.4076033   0.0000008      0.819    LCF     
  18534775                             25-26 1983.734488    0.000737   0.3358641   0.0000004      0.757    LCF     
  18636142                             25-26 1986.738554    0.000550   0.4315181   0.0000008      0.899    LCF     
  18914916                              7,34 1494.113602    0.000089  11.2840942   0.0000874      0.081    LCF     
  18915591                                 7 1492.785036    0.000422   6.9856401   0.0001346      0.434    LCF    A
  19193162                                 7 1491.942796    0.000125   5.6916577   0.0000226      0.384    LCF     
  19271382                            8-9,35 1517.842393    0.000692   2.5883459   0.0000014      0.381    LCF     
